"snt_name","snt_borough","burglary_count"
"Bowes","Enfield",108
"Bush Hill Park","Enfield",120
"Chase","Enfield",128
"Cockfosters","Enfield",156
"Edmonton Green","Enfield",175
"Enfield Highway","Enfield",231
"Enfield Lock","Enfield",226
"Grange","Enfield",143
"Haselbury","Enfield",131
"Highlands","Enfield",110
"Jubilee","Enfield",163
"Lower Edmonton","Enfield",118
"Palmers Green","Enfield",183
"Ponders End","Enfield",168
"Southbury","Enfield",166
"Southgate","Enfield",121
"Southgate Green","Enfield",137
"Town","Enfield",148
"Town","Hammersmith and Fulham",127
"Town","Enfield",165
"Town","Hammersmith and Fulham",144
"Turkey Street","Enfield",171
"Upper Edmonton","Enfield",216
"Winchmore Hill","Enfield",134
"Abbey Wood","Greenwich",133
"Blackheath Westcombe","Greenwich",136
"Charlton","Greenwich",161
"Coldharbour and New Eltham","Greenwich",107
"Eltham North","Greenwich",114
"Eltham South","Greenwich",138
"Eltham West","Greenwich",92
"Glyndon","Greenwich",139
"Greenwich Park","Greenwich",0
"Greenwich West","Greenwich",218
"Kidbrooke with Hornfair","Greenwich",148
"Middle Park and Sutcliffe","Greenwich",153
"Peninsula","Greenwich",247
"Plumstead","Greenwich",127
"Shooters Hill","Greenwich",111
"Thamesmead Moorings","Greenwich",136
"Woolwich Common","Greenwich",140
"Woolwich Riverside","Greenwich",230
"Brownswood","Hackney",128
"Cazenove","Hackney",90
"Clissold","Hackney",167
"Dalston","Hackney",179
"De Beauvoir","Hackney",140
"Hackney Central","Hackney",199
"Hackney Downs","Hackney",144
"Hackney Wick","Hackney",170
"Haggerston","Hackney",185
"Homerton","Hackney",180
"Hoxton East and Shoreditch","Hackney",349
"Hoxton West","Hackney",178
"King's Park","Hackney",109
"Lea Bridge","Hackney",182
"Lea Bridge","Waltham Forest",104
"Lea Bridge","Hackney",200
"Lea Bridge","Waltham Forest",122
"London Fields","Hackney",209
"Shacklewell","Hackney",109
"Springfield","Hackney",191
"Stamford Hill West","Hackney",73
"Stoke Newington","Hackney",127
"Victoria","Hackney",140
"Woodberry Down","Hackney",109
"Addison","Hammersmith and Fulham",116
"Askew","Hammersmith and Fulham",112
"Avonmore and Brook Green","Hammersmith and Fulham",103
"College Park and Old Oak","Hammersmith and Fulham",99
"Fulham Broadway","Hammersmith and Fulham",162
"Fulham Reach","Hammersmith and Fulham",95
"Hammersmith Broadway","Hammersmith and Fulham",175
"Munster","Hammersmith and Fulham",135
"North End","Hammersmith and Fulham",70
"Palace Riverside","Hammersmith and Fulham",66
"Parsons Green and Walham","Hammersmith and Fulham",136
"Ravenscourt Park","Hammersmith and Fulham",108
"Sands End","Hammersmith and Fulham",115
"Shepherd's Bush Green","Hammersmith and Fulham",147
"Town","Enfield",147
"Town","Hammersmith and Fulham",126
"Town","Enfield",164
"Town","Hammersmith and Fulham",143
"Wormholt and White City","Hammersmith and Fulham",95
"Alexandra","Haringey",81
"Alexandra","Kingston upon Thames",49
"Alexandra","Haringey",77
"Alexandra","Kingston upon Thames",45
"Bounds Green","Haringey",92
"Bruce Grove","Haringey",139
"Crouch End","Haringey",191
"Fortis Green","Haringey",147
"Harringay","Haringey",180
"Highgate","Camden",137
"Highgate","Haringey",178
"Highgate","Camden",125
"Highgate","Haringey",166
"Hornsey","Haringey",108
"Muswell Hill","Haringey",130
"Noel Park","Haringey",193
"Northumberland Park","Haringey",179
"Seven Sisters","Haringey",154
"St Ann's","Haringey",146
"Stroud Green","Haringey",145
"Tottenham Green","Haringey",242
"Tottenham Hale","Haringey",180
"West Green","Haringey",151
"White Hart Lane","Haringey",137
"Woodside","Croydon",107
"Woodside","Haringey",113
"Woodside","Croydon",97
"Woodside","Haringey",103
"Belmont","Harrow",65
"Belmont","Sutton",89
"Belmont","Harrow",66
"Belmont","Sutton",90
"Canons","Harrow",113
"Edgware","Barnet",160
"Edgware","Harrow",131
"Edgware","Barnet",131
"Edgware","Harrow",102
"Greenhill","Harrow",142
"Harrow Town Centre","Harrow",20
"Harrow Weald","Harrow",110
"Harrow on the Hill","Harrow",87
"Hatch End","Harrow",80
"Headstone North","Harrow",120
"Headstone South","Harrow",90
"Kenton East","Harrow",67
"Kenton West","Harrow",69
"Marlborough","Harrow",141
"Pinner","Harrow",128
"Pinner South","Harrow",73
"Queensbury","Brent",140
"Queensbury","Harrow",124
"Queensbury","Brent",115
"Queensbury","Harrow",99
"Rayners Lane","Harrow",92
"Roxbourne","Harrow",127
"Roxeth","Harrow",81
"Stanmore Park","Harrow",98
"Wealdstone","Harrow",87
"West Harrow","Harrow",85
"Brooklands","Havering",165
"Cranham","Havering",58
"Elm Park","Havering",67
"Emerson Park","Havering",71
"Gooshays","Havering",131
"Hacton","Havering",39
"Harold Wood","Havering",141
"Havering Park","Havering",86
"Heaton","Havering",87
"Hylands","Havering",92
"Mawneys","Havering",88
"Pettits","Havering",135
"Rainham and Wennington","Havering",111
"Romford Town","Havering",211
"South Hornchurch","Havering",136
"Squirrel's Heath","Havering",105
"St Andrew's","Havering",75
"Upminster","Havering",110
"Barnhill","Brent",105
"Barnhill","Hillingdon",136
"Barnhill","Brent",110
"Barnhill","Hillingdon",141
"Botwell","Hillingdon",132
"Brunel","Hillingdon",133
"Cavendish","Hillingdon",81
"Charville","Hillingdon",104
"Eastcote and East Ruislip","Hillingdon",133
"Harefield","Hillingdon",66
"Hayes Town Centre","Hillingdon",86
"Heathrow Villages","Hillingdon",167
"Hillingdon East","Hillingdon",83
"Ickenham","Hillingdon",100
"Manor","Hillingdon",117
"Northwood","Hillingdon",92
"Northwood Hills","Hillingdon",132
"Pinkwell","Hillingdon",135
"South Ruislip","Hillingdon",114
"Townfield","Hillingdon",105
"Uxbridge North","Hillingdon",131
"Uxbridge South","Hillingdon",178
"Uxbridge Town Centre","Hillingdon",29
"West Drayton","Hillingdon",157
"West Ruislip","Hillingdon",95
"Yeading","Hillingdon",145
